region,life_expectancy_total,life_expectancy_male,life_expectancy_female,total_deaths,under5_mortality
Global,71.7,69.0,74.8,67859.8,35.7
"Central Europe, eastern Europe, and central Asia",71.5,67.4,75.5,5953.8,12.0
Central Asia,70.8,67.4,74.3,724.5,20.9
Armenia,75.0,71.3,78.6,31.3,11.1
Azerbaijan,70.1,67.0,73.4,89.3,28.6
Georgia,71.5,67.3,75.8,59.6,9.7
Kazakhstan,69.6,65.3,73.9,181.4,10.2
Kyrgyzstan,72.3,68.4,76.1,38.9,17.0
Mongolia,70.0,65.7,74.6,21.5,16.9
Tajikistan,69.3,66.9,72.1,59.1,34.5
Turkmenistan,67.8,64.3,71.5,43.6,27.5
Uzbekistan,72.5,69.9,75.1,199.8,21.5
Central Europe,74.7,71.3,78.3,1758.7,5.0
Albania,76.0,73.6,78.7,30.1,13.1
Bosnia and Herzegovina,75.4,72.6,78.3,46.4,5.2
Bulgaria,69.9,66.4,73.7,168.7,6.6
Croatia,77.2,74.1,80.3,62.4,4.6
Czechia,77.6,74.4,80.9,138.5,2.7
Hungary,74.5,70.9,78.0,154.3,4.0
Montenegro,72.7,69.8,76.0,9.9,3.9
North Macedonia,71.5,69.2,74.2,32.7,5.6
Poland,75.7,71.8,79.7,516.8,4.4
Romania,72.9,69.2,76.8,334.0,6.7
Serbia,74.1,71.7,76.7,149.1,4.7
Slovakia,74.7,71.3,78.3,72.6,5.8
Slovenia,80.8,77.6,84.0,23.0,2.2
Eastern Europe,70.4,65.8,74.9,3470.6,6.1
Belarus,71.0,66.0,76.0,161.7,4.0
Estonia,76.9,72.4,81.2,18.6,2.5
Latvia,73.2,68.3,78.1,34.2,3.7
Lithuania,74.1,69.2,78.9,47.2,3.5
Moldova,72.1,67.9,76.4,50.1,10.9
Russia,70.0,65.5,74.3,2413.6,5.8
Ukraine,71.0,66.3,75.7,745.3,7.8
High income,80.6,77.9,83.3,10882.9,4.6
Australasia,83.2,81.2,85.3,209.7,3.3
Australia,83.4,81.2,85.6,175.2,3.0
New Zealand,82.4,80.7,84.1,34.5,4.8
High-income Asia Pacific,84.8,81.8,87.8,1795.7,2.2
Brunei,76.6,74.9,78.3,1.8,9.7
Japan,85.2,82.2,88.1,1439.0,2.1
South Korea,83.2,80.3,86.0,331.0,2.5
Singapore,85.7,83.6,87.7,23.7,1.7
High-income North America,77.6,74.8,80.4,3779.0,5.7
Canada,81.8,79.5,84.1,310.4,4.0
Greenland,73.8,71.4,76.9,0.4,10.6
USA,77.1,74.3,80.0,3468.1,5.9
Southern Latin America,76.8,73.8,79.9,553.1,8.5
Argentina,76.1,73.0,79.1,378.3,9.7
Chile,79.0,76.1,81.9,134.2,5.7
Uruguay,75.7,72.0,79.4,40.5,6.8
Western Europe,81.8,79.4,84.2,4542.5,3.5
Andorra,83.0,80.7,85.7,0.6,1.2
Austria,81.7,79.2,84.1,88.8,3.1
Belgium,81.8,79.3,84.2,111.0,3.7
Cyprus,81.2,79.2,83.2,9.2,2.4
Denmark,81.5,79.5,83.5,56.7,3.6
Finland,82.2,79.5,84.9,57.1,2.2
France,82.6,79.6,85.5,642.4,4.0
Germany,81.0,78.5,83.4,1007.7,3.5
Greece,80.0,77.2,82.8,144.3,3.9
Iceland,83.6,82.3,84.9,2.3,2.4
Ireland,82.6,80.8,84.5,32.2,3.4
Israel,83.2,81.2,85.1,50.1,2.3
Italy,82.7,80.3,84.9,698.6,2.9
Luxembourg,82.6,80.4,84.9,4.5,3.5
Malta,82.7,81.3,84.1,4.0,5.3
Monaco,78.8,76.3,81.4,0.6,3.8
Netherlands,81.5,79.8,83.2,169.6,3.8
Norway,83.3,81.7,84.9,41.9,2.1
