lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Global,35.7,30.5,42,-3.3,-4,-2.5,0.19,0.18,0.2,0.12,0.11,0.12,69,68,69.9,74.8,74,75.5,71.7,70.9,72.5,67859.8,64953.6,70777.4,355.6,328.8,388.6,5886958.902969494,9968353.485750759
"Central Europe, eastern Europe, and central Asia",12,10.5,13.7,-3.8,-4.4,-3.2,0.25,0.24,0.26,0.11,0.11,0.12,67.4,66.9,67.9,75.5,75,75.9,71.5,71,71.8,5953.8,5792.6,6128.7,6,5.7,6.5,739532.8493819175,1402779.9753685696
Central Asia,20.9,17.6,24.6,-4.1,-4.8,-3.2,0.22,0.21,0.24,0.11,0.1,0.12,67.4,66.4,68.5,74.3,73.3,75.2,70.8,69.8,71.8,724.5,671.2,778.7,3.4,3,3.8,108372.80728380404,150344.33602424583
Armenia,11.1,9,13.8,-4.8,-6,-3.6,0.18,0.16,0.19,0.07,0.06,0.07,71.3,70.3,72.4,78.6,77.8,79.4,75,74.1,76,31.3,28.9,33.8,0,0,0,6821.911730648329,4807.9510432558845
Azerbaijan,28.6,23.4,34.7,-4,-5,-3,0.21,0.19,0.23,0.1,0.09,0.11,67,66,68.2,73.4,72.5,74.3,70.1,69.2,71.2,89.3,81.9,96.4,0.4,0.3,0.4,20749.204048631193,25436.148929042738
Georgia,9.7,7.7,12.2,-6.1,-7.2,-5,0.25,0.25,0.26,0.1,0.1,0.1,67.3,67,67.5,75.8,75.5,76.2,71.5,71.2,71.7,59.6,58.6,60.5,0,0,0,5755.204458892204,16659.86027237937
Kazakhstan,10.2,8.4,12.3,-6.1,-7,-5.1,0.28,0.26,0.3,0.13,0.12,0.14,65.3,64.4,66.2,73.9,73.1,74.7,69.6,68.7,70.4,181.4,169.3,194,0.4,0.3,0.5,29835.02568436038,51280.09452244299
Kyrgyzstan,17,14.9,19,-4.4,-5.2,-3.7,0.23,0.2,0.26,0.1,0.09,0.12,68.4,66.6,70.2,76.1,74.7,77.6,72.3,70.7,73.9,38.9,34.2,43.6,0.2,0.2,0.2,7159.127265657569,6292.212342655304
Mongolia,16.9,14,20.5,-5.6,-6.6,-4.6,0.29,0.26,0.32,0.12,0.1,0.13,65.7,64.3,67.1,74.6,73.5,75.7,70,69.1,71,21.5,19.9,23,0.1,0.1,0.1,-1953.3871321405743,903.8812781371939
Tajikistan,34.5,28.5,42.2,-3.1,-4.1,-2.1,0.21,0.18,0.24,0.13,0.11,0.15,66.9,65.1,69.1,72.1,70.4,73.7,69.3,67.8,71,59.1,52.2,65.6,0.6,0.6,0.7,11869.170531557469,15923.782882816351
