lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
Global,6098778,5976444.2,6222619.9,7891353.3,7666734,8131224.5,1834091.5,1797568.9,1871037.9,2011861.2,1953884.8,2071008.6,3841324.2,3761581.3,3924378.8,5109281.8,4960179.7,5268035,423362.3,415585.1,431695.2,770210.3,750166.9,792403.7,1.2,1.2,1.3,0.38
"Southeast Asia, east Asia, and Oceania",1855936.9,1761862.7,1948976.5,2185007.2,2074128.7,2292835.9,482518.9,459529.2,505320.4,445086.5,423815.1,465385.6,1254602.4,1189975.6,1318554.9,1485585.8,1410497.1,1559013.9,118815.6,112317.6,125054.8,254334.8,239526.7,269077.7,0.8,0.7,0.8,0.57
East Asia,1304755.1,1217992.8,1392708.9,1472774.9,1369752.2,1579504.4,305199.2,284909.4,325829,267352.1,248497.5,286885.4,907103.4,846747.6,968197.1,1002735.1,932779.2,1075233.7,92452.6,86335.8,98652.8,202687.7,188420.2,217420.7,0.6,0.6,0.6,0.76
China,1259085.8,1172263.3,1346853.8,1422746,1318759.2,1530462.3,293953.8,273643.1,314466.7,259631.6,240601,279324.3,876152.1,815750.1,937218.7,967106.7,896434.6,1040317.2,88979.9,82870.1,95168.4,196007.6,181714.5,210820.8,0.6,0.6,0.6,0.75
North Korea,23404.2,20852,25973.5,26392.3,22352.8,30270,6545.1,5831.4,7263.7,4773.7,4043.1,5475.1,15315.7,13645.5,16997.1,18946.6,16046.7,21730.4,1543.4,1375.1,1712.8,2671.9,2263,3064.5,0.6,0.3,0.7,0.56
Taiwan (province of China),22265.1,22122.3,22405.9,23636.7,21438.9,25875,4700.2,4670.1,4730,2946.7,2672.7,3225.8,15635.5,15535.3,15734.4,16681.8,15130.6,18261.4,1929.3,1916.9,1941.5,4008.2,3635.5,4387.8,0.3,-0.1,0.7,1.36
Southeast Asia,542836.3,512515.7,573171.7,698304.7,670177.5,727998.1,174014.9,164657.2,183621.1,172653.6,165805.3,179713.9,342714.1,323497.4,362007.1,474492.8,455505.5,495134.9,26107.4,24727.8,27525.4,51158.4,48971.8,53344,1.2,1.1,1.3,0.3
Cambodia,12533,11531.2,13601.5,17044.1,14539.3,19613.6,5196.1,4780.8,5639.1,5116.6,4364.6,5887.9,6906.8,6354.7,7495.6,10996.9,9380.8,12654.8,430.1,395.8,466.8,930.6,793.8,1070.9,1.5,1.1,1.8,0.18
Indonesia,211678.9,182890.1,240475.3,278914.2,256923,300109,66625.5,57564.3,75689.1,67288.4,61983,72401.6,135470.2,117046,153899.3,194150.4,178842.5,208904,9583.2,8279.8,10886.8,17475.4,16097.6,18803.4,1.3,1.1,1.6,0.26
Laos,5387.8,4852.2,5932.3,7377.6,6610.4,8098,2307.5,2078.1,2540.7,2296.4,2057.6,2520.6,2887.3,2600.3,3179.1,4754,4259.7,5218.3,193,173.8,212.5,327.2,293.2,359.1,1.5,1.5,1.5,0.14
